id,code,name
475,CHEM 442,Molecules and Radiation II
475,CHEM 542,Molecules and Radiation II
476,CHEM 480,Introduction to Research
477,CHEM 490,IndependentResearchInChemistry
478,CHEM 515,Special Topics in Inorg Chem
479,CHEM 528,Natural Product Synthesis
480,CHEM 547,Electron Paramagnetc Resonance
481,CHEM 553,Small Molecule Crystallography
482,CHEM 556,Biochemical Rates & Mechanisms
483,CHEM 562L,Lab Instr Design & Mech Arts
483,PHYS 762,Lab Instr Design & Mech Arts
484,CHEM 564L,Adv Mechanical Instrumentation
485,CHEM 565L,Introduction to Glass Blowing
486,CHEM 600,Research Seminar
487,CHEM 700,Lab Rotation
488,CHEM 721,Current Topics Organic Chem
489,CHEM 731,Molecular Science Seminar
490,CHEM 741,Seminar in Chemical Biology
491,CHEM 751,Biophysical Chemistry Seminar
492,CHEM 761,Seminar in Inorganic Chemistry
493,CHEM 990,Research
494,CHLD 126,CliniclAssessmntOfYoungChildrn
494,EDST 191,CliniclAssessmntOfYoungChildrn
495,CHLD 127,Early Childhood Education
495,EDST 127,Early Childhood Education
495,PSYC 127,Early Childhood Education
496,CHLD 128,"Language, Literacy, and Play"
496,EDST 128,"Language, Literacy, and Play"
496,PSYC 128,"Language, Literacy, and Play"
497,CHLD 350,Autism and Related Disorders
497,EDST 350,Autism and Related Disorders
497,PSYC 350,Autism and Related Disorders
498,CHNS 120,Elementary Modern Chinese II
499,CHNS 122,ElmntryModChinseHeritSpeakers
500,CHNS 140,Intermediate Modern Chinese II
501,CHNS 142,IntrmdtModChinseforHeritSpkrs
502,CHNS 151,Advanced Modern Chinese II
503,CHNS 153,AdvModChineseHeritaSpkrs
504,CHNS 155,Upper Adv Modern Chinese IV
505,CHNS 163,AdvModChnsHeritSpkrsIII
506,CHNS 165,Modern Chinese Fiction
507,CHNS 167,Chinese for Current Affairs
508,CHNS 169,Chinese for Global Enterprises
509,CHNS 171,Intro to Literary Chinese II
509,CHNS 571,Intro to Literary Chinese II
510,CLCV 059,Rivers and Civilization
513,CLCV 205,Intro to Ancient Greek History
513,HIST 205,Intro to Ancient Greek History
514,CLCV 207,The Roman Empire
514,HIST 218,The Roman Empire
515,CLCV 215,Beauty and the Good Life
515,HUMS 211,Beauty and the Good Life
515,PHIL 224,Beauty and the Good Life
517,CLCV 236,Roman Law
517,HIST 225,Roman Law
517,LAW 21776,Roman Law
518,CLCV 258,Ecocultures of Antiquity
519,CLCV 319,"Olympic Games, Ancient &Modern"
519,HIST 242J,"Olympic Games, Ancient &Modern"
519,MGRK 300,"Olympic Games, Ancient &Modern"
519,WGSS 293,"Olympic Games, Ancient &Modern"
520,CLCV 451,Two-Term Senior Project
521,CLCV 452,One-Term Senior Project
522,CLSS 402,Advanced Latin Paleography
522,CLSS 602,Advanced Latin Paleography
522,MDVL 563,Advanced Latin Paleography
523,CLSS 491,Two-Term Intensive SeniorEssay
524,CLSS 492,One-Term Intensive SeniorEssay
525,CLSS 796,Plato's Gorgias
525,PHIL 496,Plato's Gorgias
525,PHIL 696,Plato's Gorgias
526,CLSS 812,Sympotic Culture
527,CLSS 818,Sanctuaries
527,HSAR 533,Sanctuaries
527,NELC 624,Sanctuaries
528,CLSS 845,Images of Cult & Devotion
528,HSAR 641,Images of Cult & Devotion
528,MDVL 520,Images of Cult & Devotion
